Date,Minimum temperature (C),Maximum temperature (C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2024-10-1,1.4,21.8,0,,,SW,26,11:44,13.8,70,,NNE,6,1024.8,21.4,37,,SW,11,1021.1
2024-10-2,3.1,24.5,0,,,NNE,28,09:53,18.2,63,,ESE,4,1027.9,22.8,35,,E,9,1025.1
2024-10-3,3.4,24.0,0,,,NNW,20,11:12,17.0,62,,SSE,4,1029.0,23.4,34,,WNW,7,1023.1
2024-10-4,5.3,22.5,0,,,N,28,10:04,15.0,68,,N,7,1020.2,20.9,54,,N,20,1013.4
2024-10-5,13.5,22.5,7.0,,,WNW,46,14:03,18.9,64,,NW,13,1010.6,20.7,40,,WNW,28,1008.3
2024-10-6,7.9,22.6,0,,,W,46,13:46,14.5,75,,N,13,1015.3,21.2,43,,WSW,26,1015.2
2024-10-7,4.8,,0,,,,,,13.5,78,, ,Calm,1020.1,26.3,33,,WNW,24,1017.3
2024-10-8,7.5,23.4,,,,WSW,31,14:17,14.3,79,,SW,2,1020.9,23.3,26,,SSW,19,1018.5
2024-10-9,5.3,21.5,0,,,ENE,31,14:16,13.9,60,,ESE,13,1024.3,20.7,46,,ENE,13,1020.5
2024-10-10,3.4,24.6,0,,,NW,26,12:01,13.2,73,,S,2,1022.9,23.5,40,,NNW,11,1019.8
2024-10-11,5.0,28.9,0,,,WNW,41,15:36,15.5,67,,SE,7,1023.4,27.6,27,,WNW,19,1019.2
2024-10-12,4.4,24.3,0,,,SE,30,08:33,16.3,69,,SE,13,1023.7,23.5,41,,SE,15,1022.0
2024-10-13,3.7,24.9,0,,,NE,30,10:37,13.6,63,,SE,11,1025.3,24.3,32,,NNW,15,1019.4
2024-10-14,10.5,27.5,0,,,WSW,41,15:34,17.6,65,,NE,4,1018.8,27.1,41,,NNW,19,1014.7
2024-10-15,12.2,19.4,8.4,,,ESE,30,09:04,16.6,71,,ESE,13,1022.7,15.7,90,,NE,6,1021.4
2024-10-16,10.6,20.8,5.8,,,N,20,12:21,12.2,87,,S,2,1021.1,19.9,67,,WNW,9,
2024-10-17,8.0,25.4,0.4,,,N,24,12:39,13.5,89,,NNW,7,,24.7,49,,NNW,11,
2024-10-18,13.5,24.6,6.6,,,WSW,83,16:07,16.8,98,,N,11,1011.1,23.5,73,,NNW,17,1004.2
2024-10-19,14.6,20.1,13.8,,,WSW,33,08:30,15.5,87,,SW,20,1011.4,17.0,79,,N,11,1013.6
2024-10-20,7.4,27.1,0.2,,,WSW,28,14:27,13.8,100,,ESE,9,1019.2,26.4,37,,SSW,15,1016.8
2024-10-21,8.7,25.7,0.2,,,SSW,33,15:33,15.9,61,,SE,19,1021.9,24.2,37,,E,13,1017.5
2024-10-22,6.8,28.0,0,,,SW,24,14:01,16.0,58,,SE,2,1017.3,27.3,31,,SSE,11,1013.8
2024-10-23,8.3,27.8,0,,,WNW,37,11:43,17.8,67,,NNE,2,1012.6,26.0,38,,SW,19,1010.1
2024-10-24,9.9,22.5,0,,,SW,41,12:07,16.0,52,,S,13,1013.2,21.4,20,,WSW,22,1011.2
2024-10-25,2.8,21.3,0,,,SW,41,10:25,13.5,50,,SW,7,1017.5,20.4,27,,WSW,28,1015.4
2024-10-26,1.9,22.2,0,,,ESE,24,06:33,13.3,60,,E,9,1021.0,21.5,27,,SE,6,1017.7
2024-10-27,6.6,26.9,0,,,S,28,14:53,15.2,56,,ESE,2,1019.9,25.8,22,,SSW,11,1016.9
2024-10-28,6.3,30.1,0,,,WSW,46,14:55,17.6,47,,WSW,6,1019.3,27.5,25,,WSW,24,1016.5
2024-10-29,6.8,28.2,0,,,SW,31,14:48,16.9,65,,ENE,4,1022.7,27.1,29,,W,15,1019.3
2024-10-30,6.8,29.5,0,,,SW,35,13:30,16.2,60,,NNW,4,1018.9,29.3,16,,WSW,22,1014.1
2024-10-31,6.2,28.9,0,,,WSW,59,13:22,17.9,48,,NW,2,1011.8,26.8,25,,W,11,1009.3
