Date,Minimum temperature (C),Maximum temperature (C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2024-07-1,0.9,13.6,0,,,SSE,24,10:23,4.6,86,,S,11,1025.2,13.3,54,,SSW,7,1023.7
2024-07-2,4.3,14.9,0,,,SSE,31,13:22,9.2,77,,SSE,13,1030.4,14.4,53,,SE,17,1028.3
2024-07-3,4.1,14.9,0,,,SE,33,09:53,9.5,82,,S,9,1034.2,13.8,53,,ESE,17,1032.5
2024-07-4,4.7,16.1,0,,,SE,33,14:20,9.5,86,,S,11,1035.6,15.8,51,,SE,17,1033.3
2024-07-5,6.7,17.4,0,,,ESE,30,11:54,11.6,77,,SSE,11,1037.5,15.9,51,,SSE,13,1035.8
2024-07-6,2.6,17.2,0,,,ESE,30,10:41,8.3,83,,S,13,1039.1,17.0,43,,ENE,11,1034.6
2024-07-7,0.2,15.9,0,,,SE,19,12:04,7.0,91,,S,7,1034.2,15.8,52,,E,6,1029.3
2024-07-8,7.0,13.2,0,,,E,17,00:28,10.1,94,,S,6,1025.8,12.4,91,,E,7,1021.1
2024-07-9,9.6,12.8,0,,,NNW,24,12:53,11.2,93,,NNW,13,1021.6,11.8,94,,N,17,1020.4
2024-07-10,9.6,12.7,0.6,,,WSW,24,11:49,11.2,98,,NNW,11,1023.5,12.6,77,,W,15,1022.7
2024-07-11,3.4,9.2,0,,,ESE,15,02:57,4.9,100,,SE,6,1025.1,8.6,92,, ,Calm,1020.1
2024-07-12,2.5,13.2,0,,,SW,20,15:18,5.3,100,,W,9,1017.0,12.9,67,,SSW,11,1013.9
2024-07-13,5.3,12.2,0,,,WSW,28,15:26,9.1,91,,SW,17,1015.5,11.5,77,,SW,9,1014.2
2024-07-14,4.6,10.8,0,,,SW,31,13:31,5.6,99,,NNW,9,1016.1,9.4,75,,WSW,20,1012.7
2024-07-15,1.8,9.7,0,,,NNW,26,11:14,3.7,98,,N,13,1012.4,8.6,81,,NW,17,1008.9
2024-07-16,3.7,8.5,0,,,NW,31,06:14,5.6,97,,NNW,20,1005.3,8.3,92,,NNW,15,1005.3
2024-07-17,5.5,11.5,0,,,WSW,22,13:10,8.5,99,,NNE,2,1010.4,11.2,74,,WSW,13,1009.8
2024-07-18,5.4,11.3,0,,,WSW,28,13:15,6.0,100,,NNW,7,1016.2,9.9,70,,W,15,1015.5
2024-07-19,5.9,11.3,0,,,N,33,21:15,7.7,82,,NNW,9,1020.2,10.1,66,,NNW,17,1015.2
2024-07-20,7.7,11.8,0,,,W,61,10:48,9.3,80,,NW,20,1008.7,9.2,76,,WNW,37,1009.7
2024-07-21,3.8,12.1,0,,,W,46,02:14,6.7,83,,SW,6,1022.8,11.1,68,,WSW,17,1023.0
2024-07-22,5.0,15.2,0,,,NW,22,17:18,7.2,97,, ,Calm,1028.4,14.3,67,,N,11,1026.1
2024-07-23,-0.4,16.6,0,,,NNW,17,13:14,4.6,100,,SSE,2,1030.2,16.3,53,,NNE,7,1026.5
2024-07-24,-0.8,15.7,0,,,N,20,13:43,5.2,96,,SE,4,1026.1,15.1,62,,N,13,1022.0
2024-07-25,3.4,18.6,2.2,,,N,46,11:29,9.0,87,, ,Calm,1019.8,17.7,64,,N,26,1015.1
2024-07-26,7.8,16.1,14.8,,,WNW,17,00:16,10.3,100,, ,Calm,1022.1,15.1,56,,SW,6,1020.9
2024-07-27,1.9,15.6,0.2,,,WSW,39,23:14,6.0,96,,SSW,9,1020.5,15.2,71,,NW,7,1017.5
2024-07-28,4.4,8.6,0.2,,,SW,46,00:24,5.1,80,,WSW,26,1023.4,7.8,75,,SW,20,1023.5
2024-07-29,-1.1,11.2,0,,,SSW,31,11:41,4.1,83,,N,2,1029.4,10.7,51,,SSW,15,1028.7
2024-07-30,-3.5,13.1,0.2,,,SSE,28,11:22,3.5,80,,ESE,7,1036.4,12.8,46,,SSE,13,1033.3
2024-07-31,-2.0,14.3,0,,,SE,24,13:36,3.9,83,,SSE,4,1037.3,13.6,55,,SSE,11,1033.7
